id,minute,second,team,player,start_x,start_y,end_x,end_y,pass_length_m,pass_angle_rad,pass_type,pass_height,pass_outcome,pass_success,defenders_near_5m,teammates_near_5m,defenders_near_10m,teammates_near_10m
9430d01a-38c5-4db7-85b9-bc60bdd1bb1a,10,0,Bayer Leverkusen,Odilon Kossonou,62.9,75.1,48.9,58.8,21.486972797488246,-2.2804321896951487,Unknown,Ground Pass,Complete,1,0,0,0,1
c344f076-7a47-43ff-9de0-224d38c54d5f,10,2,Bayer Leverkusen,Jonathan Tah,48.9,54.8,55.6,24.2,31.32491021535417,-1.3552437143230942,Unknown,Ground Pass,Complete,1,0,0,0,1
c68566a9-281d-4e57-b2ea-0d2186ccd585,10,6,Bayer Leverkusen,Edmond Fayçal Tapsoba,65,16.8,89.5,13,24.792942544199953,-0.1538759453820425,Unknown,Ground Pass,Complete,1,0,0,0,1
807ee3aa-2b5f-498e-a8a3-2c3164da405c,10,9,Bayer Leverkusen,Amine Adli,106.1,8.3,106.1,11.2,2.8999999999999986,1.5707963267948966,Unknown,High Pass,Incomplete,0,0,0,0,0
eb4c2049-7f69-41f0-8d5e-7d7171fba2ec,10,41,Werder Bremen,Julián Malatini,36.6,71.3,27.1,36.4,36.169876969655284,-1.8365634099314656,Free Kick,Ground Pass,Complete,1,0,0,0,0
b655f328-a1a1-4367-a033-91e1fc1eeb4d,10,44,Werder Bremen,Milos Veljkovic,27.8,35.4,37.4,22.1,16.40274367293472,-0.9455858609584324,Unknown,Ground Pass,Complete,1,0,0,0,0
87837f68-f1fa-48c0-b424-1cf947eb3ab0,10,49,Werder Bremen,Romano Schmid,47.4,28.3,47.4,66.3,38,1.5707963267948966,Unknown,Low Pass,Complete,1,0,0,0,1
36a6c3ba-4c9d-4b5d-9228-b736c1ea05d4,10,54,Werder Bremen,Julián Malatini,62.2,72.3,70.7,76,9.270382947861433,0.4105574480418508,Unknown,Ground Pass,Complete,1,0,1,1,2
80afa99a-08bd-4135-852e-1bac8fcc6789,10,55,Werder Bremen,Mitchell Weiser,68.9,75.5,77,65,13.261221663180203,-0.9137213910832435,Unknown,Ground Pass,Complete,1,0,0,0,0
5d8aa22b-4ad2-43f5-b61c-5d1191b87118,10,58,Werder Bremen,Nick Woltemade,76.7,68.1,75.4,77,8.994442728707549,1.7158380251215017,Unknown,Ground Pass,Complete,1,0,0,2,2
3c1d8ac7-1184-425f-a510-f912658cf527,11,3,Bayer Leverkusen,Edmond Fayçal Tapsoba,28.8,4.1,12.2,22.9,25.079872407968907,2.2941274213004186,Unknown,Ground Pass,Incomplete,0,0,0,0,0
70cedf55-8588-491b-b73c-fb0eaab0e935,11,23,Bayer Leverkusen,Lukáš Hrádecký,10.5,35.5,15.1,45.2,10.735455276791948,1.1279790378303078,Free Kick,Ground Pass,Complete,1,0,0,0,0
25ded170-78a5-417b-9cd4-6603e47fbc0e,11,30,Bayer Leverkusen,Jonathan Tah,34.6,50.5,43.4,56.1,10.430723848324236,0.5667292175235066,Unknown,Ground Pass,Complete,1,0,1,1,2
a5455daa-7769-4ff0-9325-db5611492426,11,35,Bayer Leverkusen,Robert Andrich,54.8,58.5,47.6,46.8,13.737903770226374,-2.122451309323443,Unknown,Ground Pass,Complete,1,0,1,0,1
3b33e379-daa3-4fa4-b1f2-fda003262cc9,11,39,Bayer Leverkusen,Jonathan Tah,53.2,44.7,55.6,55.6,11.161093136427093,1.3540710130701565,Unknown,Ground Pass,Complete,1,0,1,0,1
b7276d4b-86d8-48b3-b750-3335310ea849,11,43,Bayer Leverkusen,Robert Andrich,63.9,59.8,71.8,69.7,12.66570171763097,0.8972884295691248,Unknown,Ground Pass,Complete,1,0,1,0,1
db4f3d86-1841-4b91-8d4d-b9f2f9fa52ae,11,44,Bayer Leverkusen,Odilon Kossonou,71.3,68.2,83.7,79.6,16.843990026119105,0.7434060561760782,Unknown,Ground Pass,Out,0,0,0,0,0
6567c05f-4310-473f-a783-71d373c9be1f,11,55,Werder Bremen,Felix Agu,36.1,0.1,41.9,21.9,22.558368735349635,1.3107650372127646,Throw-in,High Pass,Complete,1,0,0,0,0
f1cef4b2-3a30-4dbd-8c88-3a23e5508a73,11,56,Werder Bremen,Leonardo Bittencourt,41.9,21.9,34.6,16.6,9.021086409075124,-2.513611362918936,Unknown,Ground Pass,Complete,1,0,1,3,2
f76e0c78-1a04-45ad-bd3b-aaa801adfab4,11,57,Werder Bremen,Senne Lynen,33.5,16.4,7.8,37.2,33.06251654063858,2.461183373397651,Unknown,High Pass,Complete,1,0,0,0,0
adccebf7-12e8-464d-97e0-b3283c513310,12,0,Werder Bremen,Michael Zetterer,8.8,36.7,51.7,16.9,47.24880950881197,-0.4324077755705379,Unknown,High Pass,Complete,1,0,0,0,0
ed3e7460-ff9d-4c32-b880-285c0c32381e,12,2,Werder Bremen,Romano Schmid,51.7,16.9,84,23.2,32.90866147384302,0.19262801551855524,Unknown,Low Pass,Incomplete,0,0,0,0,0
fc9742db-1f4a-4d78-a77f-3ab771e080b1,12,13,Bayer Leverkusen,Jonathan Tah,48.9,53,57.4,53.8,8.537564055396597,0.09384121262933617,Unknown,Ground Pass,Complete,1,1,1,3,3
3475e8ea-9538-408c-98a9-830ee6bd6613,12,14,Bayer Leverkusen,Robert Andrich,57.4,53.8,54.3,62.4,9.141662868428261,1.916763599407693,Unknown,Ground Pass,Complete,1,0,1,1,2
16a49603-874b-44b0-af6f-9d4591b16424,12,17,Bayer Leverkusen,Odilon Kossonou,54.3,62.4,51.7,51,11.692732785794771,-1.7950310779039924,Unknown,Ground Pass,Complete,1,0,1,2,2
56b8b454-e1ca-455a-b918-d37baf3dc7a1,12,20,Bayer Leverkusen,Jonathan Tah,52.5,43.7,55.6,21,22.91069619195366,-1.4350720332955136,Unknown,Ground Pass,Complete,1,0,1,0,1
f5490c78-bdb7-4862-9083-a96946844828,12,23,Bayer Leverkusen,Edmond Fayçal Tapsoba,55.6,16.8,48.3,28.6,13.875518008348376,2.1248120225962097,Unknown,Ground Pass,Complete,1,0,1,0,1
466d415a-ae7d-45ef-9cff-1284966897a1,12,26,Bayer Leverkusen,Jonathan Tah,51.2,35.3,63.7,34,12.567418191498204,-0.10362745999687144,Unknown,Ground Pass,Complete,1,1,1,4,1
9778ba95-e346-4c95-b3b0-40c4ca88f9ac,12,26,Bayer Leverkusen,Granit Xhaka,63.2,34.5,54.5,35.3,8.73670418407308,3.0498964973299305,Unknown,Ground Pass,Complete,1,0,1,2,2
684e9742-d6ed-4415-8891-9b13b80bf440,12,30,Bayer Leverkusen,Jonathan Tah,54.5,35.3,62.6,17.1,19.921094347449888,-1.1520623132638796,Unknown,Ground Pass,Complete,1,0,1,0,1
de281d84-a2bd-4aec-a689-bed3c55389c7,12,33,Bayer Leverkusen,Edmond Fayçal Tapsoba,75.8,9.6,83.9,3.4,10.200490184299975,-0.6533047162725798,Unknown,Ground Pass,Complete,1,0,0,2,2
e94b8a41-371f-4ad3-a87c-edd704b057fc,12,36,Bayer Leverkusen,Piero Martín Hincapié Reyna,84.3,2.9,68.3,10.6,17.756407294269863,2.6930572441756193,Unknown,Ground Pass,Complete,1,0,0,0,0
f1ba2cb4-0f9e-4b5c-ab3e-fd3600417446,12,40,Bayer Leverkusen,Edmond Fayçal Tapsoba,69.6,12.3,78.6,4,12.242957159118054,-0.7449577957898783,Unknown,Ground Pass,Complete,1,0,0,1,2
aab5136b-ca5c-435b-a096-a4d6eee90423,12,41,Bayer Leverkusen,Piero Martín Hincapié Reyna,77.9,4.4,85.2,3.6,7.343704787094859,-0.10915346290887781,Unknown,Ground Pass,Complete,1,0,1,2,2
8d0a82c9-cf7e-48f7-9a6e-e30a78b27606,12,42,Bayer Leverkusen,Amine Adli,86.3,3.8,86,11.5,7.705841939723395,1.6097376698919355,Unknown,Ground Pass,Complete,1,2,1,4,3
fa80c3c4-ab49-4e76-85be-c6a77fad5704,12,43,Bayer Leverkusen,Jonas Hofmann,88.4,11.9,112.1,7.4,24.12343259156954,-0.18763977180436633,Unknown,Ground Pass,Complete,1,0,0,0,0
4fc638eb-444a-4966-9dbe-bacdd46ada2b,12,45,Bayer Leverkusen,Amine Adli,112.1,9.6,111.5,33.3,23.707593720156414,1.5961073759377447,Unknown,Ground Pass,Incomplete,0,1,0,2,1
f11e6dbe-665c-4c05-a7cb-aa361d8a0bf2,13,13,Bayer Leverkusen,Jonas Hofmann,120,0.1,113.9,47.6,47.89008248061388,1.6985183119851657,Corner,High Pass,Complete,1,2,1,7,6
0305f771-3633-49c4-b022-7ebd15896fbd,13,19,Bayer Leverkusen,Odilon Kossonou,107.7,42.7,111.7,39.1,5.3814496188294845,-0.7328151017865068,Recovery,Low Pass,Complete,1,5,3,9,4
8624c0cf-c057-4e91-a3f4-2b6892686125,13,19,Bayer Leverkusen,Edmond Fayçal Tapsoba,111.8,39.8,116.7,43.7,6.262587324740478,0.672247181806964,Unknown,Low Pass,Incomplete,0,3,0,6,4
02d6a531-5368-4c69-a8f8-bccaa2f83402,13,32,Werder Bremen,Michael Zetterer,12.7,38.2,12.4,56.7,18.5024322725419,1.5870111217992988,Unknown,Ground Pass,Complete,1,0,1,0,1
